"Any","Trimestre","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Compravendes","Nombre"
2023,2,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Habitatge nou lliure","3"
2023,2,10,"Sant Martí",70,"el Besòs i el Maresme","Habitatge nou lliure","9"
2023,2,10,"Sant Martí",71,"Provençals del Poblenou","Habitatge nou lliure","6"
2023,2,10,"Sant Martí",72,"Sant Martí de Provençals","Habitatge nou lliure","--"
2023,2,10,"Sant Martí",73,"la Verneda i la Pau","Habitatge nou lliure","--"
2023,2,99,"No consta",99,"No consta","Habitatge nou lliure","19"
2023,2,1,"Ciutat Vella",1,"el Raval","Habitatge nou protegit","1"
2023,2,1,"Ciutat Vella",2,"el Barri Gòtic","Habitatge nou protegit","--"
2023,2,1,"Ciutat Vella",3,"la Barceloneta","Habitatge nou protegit","--"
2023,2,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Habitatge nou protegit","--"
2023,2,2,"Eixample",5,"el Fort Pienc","Habitatge nou protegit","1"
2023,2,2,"Eixample",6,"la Sagrada Família","Habitatge nou protegit","--"
2023,2,2,"Eixample",7,"la Dreta de l'Eixample","Habitatge nou protegit","--"
2023,2,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Habitatge nou protegit","--"
2023,2,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Habitatge nou protegit","6"
2023,2,2,"Eixample",10,"Sant Antoni","Habitatge nou protegit","1"
2023,2,3,"Sants-Montjuïc",11,"el Poble Sec","Habitatge nou protegit","--"
2023,2,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Habitatge nou protegit","--"
2023,2,3,"Sants-Montjuïc",13,"la Marina de Port","Habitatge nou protegit","--"
2023,2,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Habitatge nou protegit","--"
2023,2,3,"Sants-Montjuïc",15,"Hostafrancs","Habitatge nou protegit","--"
2023,2,3,"Sants-Montjuïc",16,"la Bordeta","Habitatge nou protegit","--"
2023,2,3,"Sants-Montjuïc",17,"Sants - Badal","Habitatge nou protegit","--"
2023,2,3,"Sants-Montjuïc",18,"Sants","Habitatge nou protegit","--"
2023,2,4,"Les Corts",19,"les Corts","Habitatge nou protegit","--"
2023,2,4,"Les Corts",20,"la Maternitat i Sant Ramon","Habitatge nou protegit","--"
2023,2,4,"Les Corts",21,"Pedralbes","Habitatge nou protegit","--"
2023,2,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Habitatge nou protegit","--"
2023,2,5,"Sarrià-Sant Gervasi",23,"Sarrià","Habitatge nou protegit","--"
2023,2,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Habitatge nou protegit","--"
